area,site,year,species,length_mm,length_cm,tag,fish_id,retained,month,day,drift,cell
BL,REF,2018,BLU,350,35,,122724,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,270,27,,122735,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,310,31,,122737,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,320,32,,122750,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,330,33,,122751,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,260,26,,122755,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,300,30,,122757,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,240,24,,122759,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,350,35,,122761,No,September,7,BLR0907184001,BL40
BL,REF,2018,OLV,310,31,,122763,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,330,33,,122766,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,260,26,,122767,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,370,37,,122774,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,310,31,,122776,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,290,29,,122777,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,320,32,,122780,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,240,24,,122781,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,320,32,,122783,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,350,35,,122785,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,320,32,,122788,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,330,33,,122789,No,September,7,BLR0907184001,BL40
BL,REF,2018,BLU,230,23,,122791,No,September,7,BLR0907184001,BL40
BL,REF,2018,GPR,290,29,,122801,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,270,27,22623O,122803,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,340,34,,122806,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,270,27,,122808,No,September,7,BLR0907184002,BL40
BL,REF,2018,KLP,330,33,22624O,122810,No,September,7,BLR0907184002,BL40
BL,REF,2018,GPR,290,29,,122814,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,350,35,,122816,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,180,18,,122817,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,300,30,,122819,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,300,30,,122821,No,September,7,BLR0907184002,BL40
BL,REF,2018,KLP,300,30,,122824,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,340,34,,122825,No,September,7,BLR0907184002,BL40
BL,REF,2018,KLP,300,30,,122826,No,September,7,BLR0907184002,BL40
BL,REF,2018,GPR,200,20,,122827,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,320,32,,122829,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,330,33,,122831,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,300,30,,122834,No,September,7,BLR0907184002,BL40
BL,REF,2018,KLP,300,30,,122836,No,September,7,BLR0907184002,BL40
BL,REF,2018,GPR,270,27,,122837,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,330,33,,122840,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,190,19,,122842,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,250,25,,122846,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,330,33,,122847,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,320,32,,122848,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,280,28,,122849,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,330,33,22315O,122850,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,300,30,,122853,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,240,24,,122855,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,340,34,,122857,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,320,32,,122858,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,270,27,,122860,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,300,30,,122862,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,330,33,,122863,No,September,7,BLR0907184002,BL40
BL,REF,2018,GPR,290,29,,122864,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,310,31,,122865,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,280,28,,122866,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,310,31,,122867,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,320,32,,122868,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,300,30,,122869,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,300,30,,122870,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,300,30,,122871,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,260,26,,122872,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,270,27,,122873,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,350,35,,122874,No,September,7,BLR0907184002,BL40
BL,REF,2018,OLV,270,27,,122875,No,September,7,BLR0907184002,BL40
BL,REF,2018,VER,250,25,,122876,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,240,24,,122877,No,September,7,BLR0907184002,BL40
BL,REF,2018,BLU,300,30,,122892,No,September,7,BLR0907184002,BL40
BL,REF,2018,GPR,260,26,,122893,No,September,7,BLR0907184002,BL40
BL,REF,2018,GPR,290,29,,122895,No,September,7,BLR0907184002,BL40
